CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Survey Date,Survey Type,Deficiency Prefix,Deficiency Category,Deficiency Tag Number,Deficiency Description,Scope Severity Code,Deficiency Corrected,Correction Date,Inspection Cycle,Standard Deficiency,Complaint Deficiency,Infection Control Inspection Deficiency,Citation under IDR,Citation under IIDR,Location,Processing Date
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,G,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Quality of Life and Care Deficiencies,0744,Provide the appropriate treatment and services to a resident who displays or is diagnosed with dementia.,G,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Resident Rights Deficiencies,0565,Honor the resident's right to organize and participate in resident/family groups in the facility.,E,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",E,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",E,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Quality of Life and Care Deficiencies,0679,Provide activities to meet all resident's needs.,E,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-12-17,Health,F,Resident Assessment and Care Planning Deficiencies,0641,Ensure each resident receives an accurate assessment.,D,"Deficient, Provider has date of correction",2026-01-23,1,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Nursing and Physician Services Deficiencies,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,F,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Resident Rights Deficiencies,0585,Honor the resident's right to voice grievances without discrimination or reprisal and the facility must establish a grievance policy and make prompt efforts to resolve grievances.,E,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,E,"Deficient, Provider has date of correction",2025-02-20,2,Y,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0697,"Provide safe, appropriate pain management for a resident who requires such services.",E,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0791,Provide or obtain dental services for each resident.,E,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Nutrition and Dietary Deficiencies,0804,"Ensure food and drink is palatable, attractive, and at a safe and appetizing temperature.",E,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Resident Assessment and Care Planning Deficiencies,0644,Coordinate assessments with the pre-admission screening and resident review program; and referring for services as needed.,D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Resident Assessment and Care Planning Deficiencies,0655,Create and put into place a plan for meeting the resident's most immediate needs within 48 hours of being admitted,D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0684,"Provide appropriate treatment and care according to orders, resident’s preferences and goals.",D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Quality of Life and Care Deficiencies,0742,"Provide the appropriate treatment and services to a resident who displays or is diagnosed with mental disorder or psychosocial adjustment difficulty, or who has a history of trauma and/or post-traumatic stress disorder.",D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Pharmacy Service Deficiencies,0759,Ensure medication error rates are not 5 percent or greater.,D,"Deficient, Provider has date of correction",2025-02-20,2,Y,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Nutrition and Dietary Deficiencies,0803,"Ensure menus must meet the nutritional needs of residents, be prepared in advance, be followed, be updated, be reviewed by dietician, and meet the needs of the resident.",D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2025-01-16,Health,F,Nutrition and Dietary Deficiencies,0808,"Ensure therapeutic diets are prescribed by the attending physician and may be delegated to a registered or licensed dietitian, to the extent allowed by State law.",D,"Deficient, Provider has date of correction",2025-02-20,2,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,Nursing and Physician Services Deficiencies,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,J,"Deficient, Provider has date of correction",2024-09-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,Pharmacy Service Deficiencies,0760,Ensure that residents are free from significant medication errors.,J,"Deficient, Provider has date of correction",2024-11-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",G,"Deficient, Provider has date of correction",2024-11-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,G,"Deficient, Provider has date of correction",2024-11-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,Resident Assessment and Care Planning Deficiencies,0842,Safeguard resident-identifiable information and/or maintain medical records on each resident that are in accordance with accepted professional standards.,E,"Deficient, Provider has date of correction",2024-11-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0609,"Timely report suspected abuse, neglect, or theft and report the results of the investigation to proper authorities.",D,"Deficient, Provider has date of correction",2024-09-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-08-28,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0610,Respond appropriately to all alleged violations.,D,"Deficient, Provider has date of correction",2024-09-27,2,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-06-05,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2024-07-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-06-05,Health,F,Quality of Life and Care Deficiencies,0679,Provide activities to meet all resident's needs.,E,"Deficient, Provider has date of correction",2024-07-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-06-05,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2024-07-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-06-05,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,"Deficient, Provider has date of correction",2024-07-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-06-05,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,D,"Deficient, Provider has date of correction",2024-07-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-04-09,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",E,"Deficient, Provider has date of correction",2024-05-07,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-04-09,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2024-05-07,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-04-09,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2024-05-07,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-01-31,Health,F,Resident Rights Deficiencies,0558,Reasonably accommodate the needs and preferences of each resident.,D,"Deficient, Provider has date of correction",2024-02-19,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-01-31,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,Past Non-Compliance,2024-01-29,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2024-01-31,Health,F,Nursing and Physician Services Deficiencies,0726,Ensure that nurses and nurse aides have the appropriate competencies to care for every resident in a way that maximizes each resident's well being.,D,"Deficient, Provider has date of correction",2024-02-19,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Nutrition and Dietary Deficiencies,0812,"Procure food from sources approved or considered satisfactory and store, prepare, distribute and serve food in accordance with professional standards.",F,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Administration Deficiencies,0851,"Electronically submit to CMS complete and accurate direct care staffing information, based on payroll and other verifiable and auditable data.",F,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Infection Control Deficiencies,0880,Provide and implement an infection prevention and control program.,F,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Assessment and Care Planning Deficiencies,0636,"Assess the resident completely in a timely manner  when first admitted, and then periodically, at least every 12 months.",E,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,E,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Nursing and Physician Services Deficiencies,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,E,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Rights Deficiencies,0561,Honor the resident's right to and the facility must promote and facilitate resident self-determination through support of resident choice.,D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Rights Deficiencies,0580,"Immediately tell the resident, the resident's doctor, and a family member of situations (injury/decline/room, etc.)  that affect the resident.",D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Assessment and Care Planning Deficiencies,0657,"Develop the complete care plan within 7 days of the comprehensive assessment; and prepared, reviewed, and revised by a team of health professionals.",D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Assessment and Care Planning Deficiencies,0658,Ensure services provided by the nursing facility meet professional standards of quality.,D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Quality of Life and Care Deficiencies,0740,Ensure each resident must receive and the facility must provide necessary behavioral health care and services.,D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Quality of Life and Care Deficiencies,0791,Provide or obtain dental services for each resident.,D,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-12-21,Health,F,Resident Rights Deficiencies,0584,"Honor the resident's right to a safe, clean, comfortable and homelike environment, including but not limited to receiving treatment and supports for daily living safely.",C,"Deficient, Provider has date of correction",2024-01-29,3,Y,N,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-10-12,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,G,"Deficient, Provider has date of correction",2023-11-02,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-10-12,Health,F,Resident Rights Deficiencies,0578,"Honor the resident's right to request, refuse, and/or discontinue treatment, to participate in or refuse to participate in experimental research, and to formulate an advance directive.",D,"Deficient, Provider has date of correction",2023-11-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-10-12,Health,F,Resident Rights Deficiencies,0585,Honor the resident's right to voice grievances without discrimination or reprisal and the facility must establish a grievance policy and make prompt efforts to resolve grievances.,D,"Deficient, Provider has date of correction",2023-11-03,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-10-12,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,"Deficient, Provider has date of correction",2023-11-02,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-08-30,Health,F,Nursing and Physician Services Deficiencies,0725,Provide enough nursing staff every day to meet the needs of every resident; and have a licensed nurse in charge on each shift.,F,"Deficient, Provider has date of correction",2023-09-20,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275025,KALISPELL REHABILITATION AND NURSING LLC,171 HERITAGE WAY,KALISPELL,MT,59901,2023-08-30,Health,F,"Freedom from Abuse, Neglect, and Exploitation Deficiencies",0600,"Protect each resident from all types of abuse such as physical, mental, sexual abuse, physical punishment, and neglect by anybody.",D,"Deficient, Provider has date of correction",2023-09-20,3,N,Y,N,N,N,"171 HERITAGE WAY,KALISPELL,MT,59901",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Quality of Life and Care Deficiencies,0689,Ensure that a nursing home area is free from accident hazards and provides adequate supervision to prevent accidents.,G,Past Non-Compliance,2026-03-07,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Pharmacy Service Deficiencies,0760,Ensure that residents are free from significant medication errors.,G,"Deficient, Provider has date of correction",2026-05-22,1,N,Y,N,Y,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Resident Assessment and Care Planning Deficiencies,0637,Assess the resident when there is a significant change in condition,D,"Deficient, Provider has date of correction",2026-05-22,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Resident Assessment and Care Planning Deficiencies,0645,PASARR screening for Mental disorders or Intellectual Disabilities,D,"Deficient, Provider has date of correction",2026-05-22,1,N,Y,N,Y,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Quality of Life and Care Deficiencies,0692,Provide enough food/fluids to maintain a resident's health.,D,"Deficient, Provider has date of correction",2026-05-22,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2026-05-06,Health,F,Quality of Life and Care Deficiencies,0698,"Provide safe, appropriate dialysis care/services for a resident who requires such services.",D,"Deficient, Provider has date of correction",2026-05-22,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2025-12-31,Health,F,Quality of Life and Care Deficiencies,0677,Provide care and assistance to perform activities of daily living for any resident who is unable.,D,Past Non-Compliance,2025-12-09,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2025-11-19,Health,F,Administration Deficiencies,0850,Hire a qualified full-time social worker in a facility with more than 120 beds.,E,"Deficient, Provider has date of correction",2025-12-14,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2025-11-19,Health,F,Resident Assessment and Care Planning Deficiencies,0656,"Develop and implement a complete care plan that meets all the resident's needs, with timetables and actions that can be measured.",D,"Deficient, Provider has date of correction",2025-12-14,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
275029,YELLOWSTONE RIVER NURSING AND REHABILITATION,2115 CENTRAL AVE,BILLINGS,MT,59102,2025-11-19,Health,F,Nursing and Physician Services Deficiencies,0711,"Ensure the resident's doctor reviews the resident's care, writes, signs and dates progress notes and orders, at each required visit.",D,"Deficient, Provider has date of correction",2025-12-14,1,N,Y,N,N,N,"2115 CENTRAL AVE,BILLINGS,MT,59102",2026-08-01
